crop_path,fine
/home/jonyling/SmartCart_bundle/crops/scene044_1.jpg,Ice-Mountain-Water
/home/jonyling/SmartCart_bundle/crops/scene018_1.jpg,SongHe-Rice
/home/jonyling/SmartCart_bundle/crops/scene030_0.jpg,Chye-Sim
/home/jonyling/SmartCart_bundle/crops/scene036_1.jpg,Red-Chilli
/home/jonyling/SmartCart_bundle/crops/scene010_0.jpg,Bananas
/home/jonyling/SmartCart_bundle/crops/scene043_0.jpg,Prima-Taste-Laksa
/home/jonyling/SmartCart_bundle/crops/scene013_3.jpg,FN-Seasons
/home/jonyling/SmartCart_bundle/crops/scene038_1.jpg,Local-Mango
/home/jonyling/SmartCart_bundle/crops/scene013_1.jpg,SongHe-Rice
/home/jonyling/SmartCart_bundle/crops/scene056_0.jpg,Kaya-Spread
/home/jonyling/SmartCart_bundle/crops/scene034_0.jpg,Local-Lime
/home/jonyling/SmartCart_bundle/crops/scene065_0.jpg,Ayam-Brand-Sardines
/home/jonyling/SmartCart_bundle/crops/scene008_2.jpg,Kailan
/home/jonyling/SmartCart_bundle/crops/scene041_0.jpg,Milo-Powder
/home/jonyling/SmartCart_bundle/crops/scene026_0.jpg,Pokka-Green-Tea
/home/jonyling/SmartCart_bundle/crops/scene003_2.jpg,Milo-Powder
/home/jonyling/SmartCart_bundle/crops/scene076_0.jpg,Ayam-Brand-Sardines
/home/jonyling/SmartCart_bundle/crops/scene050_0.jpg,Meiji-Fresh-Milk
/home/jonyling/SmartCart_bundle/crops/scene074_1.jpg,KCT-Chilli-Sauce
/home/jonyling/SmartCart_bundle/crops/scene014_0.jpg,FN-Seasons
/home/jonyling/SmartCart_bundle/crops/scene005_0.jpg,Maggi-Curry-Noodles
/home/jonyling/SmartCart_bundle/crops/scene016_2.jpg,Khong-Guan-Biscuits
/home/jonyling/SmartCart_bundle/crops/scene035_0.jpg,Marigold-HL-Milk
/home/jonyling/SmartCart_bundle/crops/scene024_0.jpg,Yeos-Chrysanthemum-Tea
/home/jonyling/SmartCart_bundle/crops/scene006_0.jpg,Pokka-Green-Tea
/home/jonyling/SmartCart_bundle/crops/scene037_0.jpg,Camel-Nuts
/home/jonyling/SmartCart_bundle/crops/scene036_0.jpg,Red-Chilli
/home/jonyling/SmartCart_bundle/crops/scene047_1.jpg,Lee-Kum-Kee-Oyster-Sauce
/home/jonyling/SmartCart_bundle/crops/scene009_2.jpg,Gardenia-White-Bread
/home/jonyling/SmartCart_bundle/crops/scene056_1.jpg,Red-Chilli
/home/jonyling/SmartCart_bundle/crops/scene063_0.jpg,Camel-Nuts
/home/jonyling/SmartCart_bundle/crops/scene011_2.jpg,Koka-Noodles
/home/jonyling/SmartCart_bundle/crops/scene006_2.jpg,Yeos-Chrysanthemum-Tea
/home/jonyling/SmartCart_bundle/crops/scene039_2.jpg,Yeos-Chrysanthemum-Tea
/home/jonyling/SmartCart_bundle/crops/scene056_4.jpg,Ice-Mountain-Water
/home/jonyling/SmartCart_bundle/crops/scene029_2.jpg,Camel-Nuts
/home/jonyling/SmartCart_bundle/crops/scene032_0.jpg,Ayam-Brand-Sardines
/home/jonyling/SmartCart_bundle/crops/scene067_0.jpg,Khong-Guan-Biscuits
/home/jonyling/SmartCart_bundle/crops/scene000_0.jpg,Prima-Taste-Laksa
/home/jonyling/SmartCart_bundle/crops/scene036_3.jpg,Kaya-Spread
/home/jonyling/SmartCart_bundle/crops/scene007_0.jpg,Kaya-Spread
/home/jonyling/SmartCart_bundle/crops/scene002_0.jpg,Milo-Powder
/home/jonyling/SmartCart_bundle/crops/scene009_3.jpg,Meiji-Fresh-Milk
/home/jonyling/SmartCart_bundle/crops/scene077_1.jpg,Meiji-Fresh-Milk
/home/jonyling/SmartCart_bundle/crops/scene032_2.jpg,Pasar-Fresh-Eggs
/home/jonyling/SmartCart_bundle/crops/scene062_0.jpg,Prima-Taste-Laksa
/home/jonyling/SmartCart_bundle/crops/scene001_0.jpg,Bananas
/home/jonyling/SmartCart_bundle/crops/scene051_0.jpg,Maggi-Curry-Noodles
/home/jonyling/SmartCart_bundle/crops/scene033_1.jpg,Yeos-Chrysanthemum-Tea
/home/jonyling/SmartCart_bundle/crops/scene024_4.jpg,Pasar-Fresh-Eggs
/home/jonyling/SmartCart_bundle/crops/scene023_0.jpg,Prima-Taste-Laksa
/home/jonyling/SmartCart_bundle/crops/scene044_0.jpg,Marigold-HL-Milk
